PassengerId,Survived,Log,Tree,Forrest,SVC,Grid
854,1,1,1,1,1,1
541,1,1,1,1,1,1
260,1,1,1,1,1,1
691,1,0,1,1,0,0
470,1,1,1,1,1,1
871,0,0,0,0,0,0
58,0,0,0,0,0,0
708,1,0,0,0,0,0
449,1,1,1,1,1,1
294,0,1,0,1,1,0
418,1,1,0,1,1,1
176,0,0,0,0,0,0
284,1,0,0,0,0,0
766,1,1,1,1,1,1
427,1,1,1,1,1,1
41,0,0,1,1,1,0
105,0,0,0,0,0,0
312,1,1,1,1,1,1
393,0,0,0,0,0,0
545,0,0,1,1,0,0
383,0,0,0,0,0,0
891,0,0,0,0,0,0
97,0,0,0,0,0,0
269,1,1,1,1,1,1
752,1,1,1,1,1,1
328,1,1,0,1,1,1
310,1,1,1,1,1,1
798,1,1,1,1,1,0
254,0,0,0,0,0,0
727,1,0,1,1,1,1
333,0,0,1,0,0,0
853,0,1,1,1,1,1
756,1,1,1,1,1,1
759,0,0,0,0,0,0
690,1,1,1,1,1,1
100,0,0,0,0,0,0
730,0,0,0,0,1,0
562,0,0,0,0,0,0
882,0,0,0,0,0,0
321,0,0,0,0,0,0
596,0,0,0,0,0,0
401,1,0,0,0,0,0
851,0,0,1,1,0,0
600,1,0,0,1,0,0
592,1,1,1,1,1,1
671,1,1,1,1,1,1
185,1,1,1,1,1,1
146,0,0,0,0,0,0
461,1,0,0,0,0,0
531,1,1,1,1,1,1
403,0,0,0,0,1,0
381,1,1,1,1,1,1
635,0,0,0,0,0,0
174,0,0,0,0,0,0
507,1,1,1,1,1,1
350,0,0,0,0,0,0
136,0,0,1,0,0,0
109,0,0,0,0,0,0
74,0,0,0,0,0,0
234,1,0,0,0,0,0
809,0,0,0,0,0,0
536,1,1,1,1,1,1
801,0,0,0,0,0,0
326,1,1,1,1,1,1
298,0,1,1,1,1,1
709,1,1,1,1,1,1
834,0,0,0,0,0,0
148,0,0,0,0,0,0
397,0,0,0,0,0,0
44,1,1,1,1,1,1
852,0,0,0,0,0,0
725,1,0,0,0,0,0
42,0,1,1,1,1,1
677,0,0,0,0,0,0
51,0,0,0,0,0,0
450,1,0,0,0,0,0
764,1,1,1,1,1,1
191,1,1,1,1,1,1
31,0,0,0,1,0,0
143,1,1,0,0,0,0
744,0,0,0,0,0,0
526,0,0,0,0,0,0
232,0,0,0,0,0,0
367,1,1,1,1,1,1
575,0,0,0,0,0,0
346,1,1,1,1,1,1
513,1,0,0,0,0,0
128,1,0,0,0,0,0
144,0,0,0,0,0,0
198,0,0,0,0,0,0
542,0,0,0,0,0,0
115,0,1,0,0,1,1
364,0,0,0,0,0,0
824,1,1,1,1,1,0
250,0,0,0,0,0,0
788,0,0,0,0,0,0
